North,East,South,West,Country
38.453041,74.898827,29.394159,60.50526,Afghanistan
42.661369,21.053049,39.667759,19.28249,Albania
37.083599,11.98645,18.976379,-8.669294,Algeria
-14.25428,-170.560398,-14.376303,-170.823931,American Samoa
42.65387,1.781667,42.4361,1.435247,Andorra
-4.388889,24.06221,-18.01173,11.73111,Angola
17.725,-61.666401,16.9897,-61.891102,Antigua and Barbuda
-21.78751,-53.65028,-55.04528,-73.58168,Argentina
41.298599,46.622501,38.844219,43.47324,Armenia
12.63,-69.863,12.4,-70.06,Aruba
-10.71056,153.619995,-43.64806,112.908302,Australia
49.01582,17.179899,46.387489,9.54041,Austria
41.896702,50.384991,38.390541,44.77858,Azerbaijan
26.928329,-73.829453,22.256941,-78.80307,Bahamas
26.24028,50.613041,25.79055,50.466099,Bahrain
26.625271,92.669418,20.7486,88.043297,Bangladesh
13.33194,-59.429169,13.05694,-59.65918,Barbados
56.167801,32.741402,51.2528,19.636511,Belarus
51.502769,6.400277,49.5061,2.541667,Belgium
18.48971,-88.08223,15.88972,-89.217773,Belize
12.39332,3.855,6.210679,0.776667,Benin
32.382198,-64.6717,32.260601,-64.858299,Bermuda
28.32333,92.11441,26.70138,88.750549,Bhutan
-9.682777,-57.45861,-22.901119,-69.652496,Bolivia
45.276901,19.619699,42.564522,15.7364,Bosnia - Herzegovina
-17.797661,29.370529,-26.89468,19.995819,Botswana
5.273609,-34.79945,-33.74773,-74.009453,Brazil
18.450594,-63.0033,18.016647,-64.522117,British Virgin Island
5.053054,115.360199,4.027776,114.091003,Brunei
44.243061,28.60638,41.254429,22.35944,Bulgaria
15.08305,2.401563,9.396385,-5.52066,Burkina Faso
-2.299445,30.85388,-4.454723,28.98749,Burundi
14.70496,107.636398,10.00972,102.351402,Cambodia
13.08472,16.206409,1.654166,8.502497,Cameroon United Republic
83.113327,-52.616669,41.913319,-141.001404,Canada
17.19166,-22.6725,14.81222,-25.36056,Cape Verde
11.00139,27.45805,2.221102,14.41444,Central African Republic
23.45055,23.99971,7.457776,13.46222,Chad
-17.50528,-67.001106,-55.72057,-75.715561,Chile
53.553871,134.772201,18.168881,73.623863,China
12.45833,-66.873383,-4.224228,-79.051681,Colombia
-11.37111,44.526661,-12.37084,43.214432,Comoros
3.710833,18.642219,-5.020615,11.14151,Congo
5.347498,31.277451,-13.45195,12.20966,Congo, Democratic Republic
11.21361,-82.565193,8.026709,-85.89862,Costa Rica
10.73495,-2.488056,4.347776,-8.606667,Cote D'ivoire
46.541698,19.4261,42.398319,13.49639,Croatia
23.18638,-74.131943,19.821939,-84.953339,Cuba
35.67165,34.581661,34.56332,32.269161,Cyprus
51.031368,18.871652,48.57555,12.09347,Czech Republic
57.74416,12.61806,54.570271,8.091389,Denmark
12.70889,43.419991,10.97083,41.759708,Djibouti
15.62805,-61.25362,15.2,-61.490009,Dominica
19.928329,-68.322243,17.61833,-71.991524,Dominican Republic
1.437926,-75.218613,-5.003335,-91.666122,Ecuador
31.63933,35.813042,21.99666,24.706381,Egypt
14.45166,-87.695267,13.15666,-90.105827,El Salvador
2.346065,11.35389,1.001944,9.357498,Equatorial Guinea
18.0089,43.12331,12.36389,36.443859,Eritrea
59.66832,28.195299,57.522202,21.83194,Estonia
14.867343,47.98943,3.406666,32.989429,Ethiopia
-51.25861,-57.731392,-52.339451,-61.030811,Falkland Islands
62.330269,-6.5675,61.933319,-7.2325,Faroe Islands, Denmark
-16.152691,179.989502,-19.1614,177.256302,Fiji
70.079422,31.587299,59.804989,19.648331,Finland
51.091099,9.543055,41.366379,-4.790556,France
5.750277,-51.649441,2.113055,-54.61536,French Guiana
-17.499451,-149.148895,-17.87084,-149.641693,French Polynesia
-48.652779,70.568588,-49.720558,68.751373,French Southern and Antarctic Lands
2.317276,14.51861,-3.922898,8.706387,Gabon
13.82638,-13.79861,13.03709,-16.826389,Gambia
31.596661,34.55859,31.216261,34.21748,Gaza Strip
43.584702,46.7108,41.046101,40.006512,Georgia
54.9174,15.03805,47.281101,5.869443,Germany
11.16666,1.20385,4.727777,-3.249166,Ghana
41.744431,28.24222,34.929989,19.627501,Greece
83.623032,-12.15528,59.7911,-73.043083,Greenland, Denmark
12.2378,-61.596401,11.9964,-61.789699,Grenada
16.513611,-61.10992,15.95,-61.783619,Guadeloupe
17.82111,-88.213059,13.74547,-92.245941,Guatemala
12.66603,8.961386,3.21361,-15.07861,Guinea
12.68472,-13.64417,10.92389,-16.677811,Guinea-Bissau
8.533598,-56.470909,1.185555,-61.389999,Guyana
19.93277,-71.62944,18.02277,-74.476959,Haiti
-52.96418,73.719422,-53.199169,73.234421,Heard Island and McDonald Islands
16.020269,-83.130867,12.98741,-89.354874,Honduras
22.548849,114.389999,22.2775,113.896599,Hong Kong
48.575821,22.894859,45.760349,16.106701,Hungary
66.534416,-13.49778,63.40276,-24.515,Iceland
35.986099,97.394127,6.748887,68.139977,India
5.653888,141.008301,-10.93,95.198593,Indonesia
