#KEY;VALUE/SUBTYPE;TYPE;LANGUAGE=DESCRIPTION
highway;services;locality;DE=Raststätte
highway;bus_stop;public_transport;DE=Bushaltestelle
railway;station;public_transport;DE=Bahnhof (mit mindestens einer Weiche)
railway;halt;public_transport;DE=Haltepunkt (kein Bahnhof, z. T. ohne Bahnsteig, nur bei Bedarf)
railway;tram_stop;public_transport;DE=Straßenbahnhaltestelle
railway;subway_entrance;public_transport;DE=U-Bahn Eingang
aeroway;aerodrome;public_transport;DE=Flugplatz
aeroway;terminal;public_transport;DE=Flughafengebäude
aerialway;station;unknown;DE=Seilbahn-Station
leisure;sports_centre;leisure;DE=Sportzentrum (Fitnesscenter) 
leisure;golf_course;leisure;DE=Golfanlage
leisure;stadium;leisure;DE=Stadion
leisure;pitch;leisure;DE=Spielfeld z. B. Fußball, Tennis, Handball, Hockey 	
leisure;water_park;leisure;DE=Schwimmbad
leisure;park;leisure;DE=Park, Grünanlage
leisure;playground;leisure;DE=Spielplatz
leisure;garden;leisure;DE=Garten
amenity;arts_centre;unknown;DE=Kulturzentrum
amenity;atm;bank;DE=Geldautomat / Bankomat
amenity;bank;bank;DE=Bank, Geldinstitut	
amenity;biergarten;amenity;DE=Biergarten
amenity;bicycle_parking;amenity;DE=Fahrradparkplatz
amenity;bureau_de_change;bank;DE=Geldwechselbüro
amenity;bus_station;public_transport;DE=Busbahnhof
amenity;brothel;unknown;DE=Bordell, Freudenhaus
amenity;cafe;locality;DE=Café
amenity;car_rental;transport;DE=Autoverleih
amenity;car_sharing;transport;DE=Carsharing-Station
amenity;cinema;leisure;DE=Kino
amenity;college;education;DE=Hochschule
amenity;courthouse;amenity;DE=Gericht
amenity;dentist;emergency;DE=Zahnarztpraxis
amenity;doctors;emergency;DE=Arztpraxis
amenity;drinking_water;locality;DE=öffentlich zugängliche Trinkwasserstelle
amenity;emergency_phone;emergency;DE=Notrufsäule
amenity;fast_food;locality;DE=Schnell-Restaurant, Imbiss
amenity;fire_station;emergency;DE=Feuerwache 		
amenity;food_court;locality;DE=Restaurants und Imbisse
amenity;fuel;transport;DE=Tankstelle
amenity;hospital;emergency;DE=Krankenhaus
amenity;kindergarten;amenity;DE=Kindergarten
amenity;library;amenity;DE=Bibliothek, Bücherei
amenity;nightclub;locality;DE=Nachtclub, Disco
amenity;parking;transport;DE=Parkplatz
amenity;pharmacy;emergency;DE=Apotheke
amenity;police;emergency;DE=Polizeistation 		
amenity;post_box;unknown;DE=Briefkasten
amenity;post_office;unknown;DE=Postamt
amenity;pub;locality;DE=Kneipe
amenity;restaurant;locality;DE=Restaurant
amenity;school;education;DE=Schule
amenity;taxi;transport;DE=Taxistand 		
amenity;telephone;emergency;DE=Telefon 		
amenity;theatre;locality;DE=Theater, Oper, Schauspielhaus
amenity;toilets;unknown;DE=Öffentliche Toilette	
amenity;university;education;DE=Universität
shop;alcohol;shop;DE=Alkoholgeschäft
shop;bakery;shop;DE=Bäckerei
shop;beverages;shop;DE=Getränkemarkt
shop;bicycle;shop;DE=Fahrradgeschäft
shop;books;shop;DE=Buchhandlung
shop;butcher;shop;DE=Metzgerei, Fleischerei
shop;car;shop;DE=Autohaus
shop;car_repair;service;DE=Autowerkstatt
shop;chemist;shop;DE=Drogerie
shop;clothes;shop;DE=Bekleidungsgeschäft
shop;computer;shop;DE=Computer-Fachhändler
shop;convenience;shop;DE=Nachbarschaftsladen
shop;department_store;shop;DE=Kaufhaus
shop;dry_cleaning;service;DE=Chemische Reinigung 		
shop;doityourself;shop;DE=Baumarkt
shop;electronics;shop;DE=Elektronik-Markt
shop;florist;shop;DE=Blumenladen
shop;furniture;shop;DE=Möbelhaus
shop;garden_centre;shop;Garten-Center
shop;hairdresser;shop;DE=Friseur 		
shop;hardware;shop;DE=Eisenwarenladen
shop;hifi;shop;DE=Hifi-Fachhändler
shop;kiosk;shop;DE=Kiosk
shop;laundry;service;DE= Reinigung
shop;mall;shop;DE=Einkaufszentrum
shop;motorcycle;shop;Motorrad-Geschäft
shop;optician;shop;DE=Optiker
shop;organic;shop;DE=Bio-Laden
shop;outdoor;shop;DE=Tramperladen
shop;sports;shop;DE=Sporthändler
shop;stationery;shop;DE=Schreibwaren, Bürobedarf
shop;supermarket;shop;DE=Supermarkt
shop;shoes;shop;DE=Schuhgeschäft
shop;toys;shop;DE=Spielzeuggeschäft
shop;video;shop;DE=Videothek
tourism;alpine_hut;tourism;DE=Schutzhütte, Berghütte
tourism;attraction;tourism;DE=Sehenswürdigkeit
tourism;camp_site;tourism;DE=Campingplatz
tourism;caravan_site;tourism;DE=Parkplatz für Wohnmobile
tourism;chalet;tourism;DE=Chalet, Sennhütte
tourism;guest_house;tourism;DE=Bed and Breakfast (Gasthaus)
tourism;hostel;tourism;DE=Jugendherberge, Herberge, Naturfreundehaus
tourism;hotel;tourism;DE=Hotel	
tourism;information;tourism;DE=Touristeninformation
tourism;motel;tourism;DE=Motel
tourism;museum;tourism;DE=Museum
tourism;picnic_site;tourism;DE=Rastplatz (Picknick)
tourism;theme_park;tourism;DE=Freizeitpark, Themenpark, Naturlehrpfad
tourism;viewpoint;tourism;DE=Aussichtspunkt	
tourism;zoo;tourism;DE=Zoologischer Garten (Zoo), Tierpark
sport;9pin;leisure;DE=Kegelbahn
sport;10pin;leisure;DE=Bowlingbahn
sport;athletics;leisure;DE=Leichtathletik
sport;australian_football;leisure;DE=Australian Football
sport;baseball;leisure;DE=Baseball
sport;basketball;leisure;DE=Basketball
sport;beachvolleyball;leisure;DE=Beachvolleyball
sport;boules;leisure;DE=Boule (Botcha)
sport;chess;leisure;DE=Schach (Große, fest installierte Schachfelder unter freiem Himmel)
sport;climbing;leisure;DE=Natürliche oder künstliche Kletterwand
sport;cricket;leisure;DE=Cricket
sport;cricket_nets;leisure;DE=Cricket nets - Ein mit Netzen umgebenes Traingsfeld für Cricketspieler.
sport;croquet;leisure;DE=Croquet oder Crocket bzw. Krocket
sport;cycling;leisure;DE=Radrennbahn, Radsporthalle
sport;equestrian;leisure;DE=Reitsporthalle, Reitplatz
sport;football;leisure;DE=American Football
sport;golf;leisure;DE=Golfplatz
sport;gymnastics;leisure;DE=Turnhalle
sport;hockey;leisure;DE=Hockeyhalle, -platz
sport;horse_racing;leisure;DE=Pferderennbahn
sport;motor;leisure;DE=Motorsport
sport;multi;leisure;DE=Mehrzweckhalle, Mehrzweckanlage
sport;rugby;leisure;DE=Rugbyplatz
sport;shooting;leisure;DE=Schießbahn, Schießstand
sport;skating;leisure;DE=Eislaufplatz, Eishalle
sport;skateboard;leisure;DE=Skateplatz
sport;skiing;leisure;DE=Skipiste, Skihalle
sport;soccer;leisure;DE=Fußballplatz
sport;swimming;leisure;DE=Schwimmbad
sport;table_tennis;leisure;DE=Tischtennis
sport;team_handball;leisure;DE=Handball
sport;tennis;leisure;DE=Tennisplatz
sport;volleyball;leisure;DE=Volleyball
